# radius         dens           pres           temp        c12          ne20          ne22
4670
1.761980463588208e+07  3.860887284722496e+09  2.937116744623976e+27  7.362000359841315e+08  1.419593705177579e-01  2.872841532894641e-01  2.442490654175344e-15
1.776955426790540e+07  3.851342549579103e+09  2.927400870840909e+27  7.352783743027602e+08  1.419597106411479e-01  2.872836851485508e-01  0.000000000000000e+00
1.791726228401272e+07  3.839756925156666e+09  2.915618360052081e+27  7.341577906568137e+08  1.419601221665262e-01  2.872831189475166e-01  2.442490654175344e-15
1.806300655583476e+07  3.828275783336892e+09  2.903953865040837e+27  7.330456050840355e+08  1.419605286415047e-01  2.872825599078906e-01  0.000000000000000e+00
1.820686036055809e+07  3.816896116391201e+09  2.892404037868028e+27  7.319417374752266e+08  1.419609302087017e-01  2.872820078272549e-01  0.000000000000000e+00
1.842464140523961e+07  3.802575947825173e+09  2.877886146051603e+27  7.305506872441335e+08  1.419614338341698e-01  2.872813156964288e-01  0.000000000000000e+00
1.853198799335780e+07  3.789730834709528e+09  2.864879221279722e+27  7.292996425932981e+08  1.419618834970092e-01  2.872806980827818e-01  0.000000000000000e+00
1.863834265146515e+07  3.781220399523347e+09  2.856269717965825e+27  7.284699885445567e+08  1.419621806306239e-01  2.872802900858463e-01  0.000000000000000e+00
1.880601871075446e+07  3.770245150798416e+09  2.845176302126978e+27  7.273990800318619e+08  1.419625628434725e-01  2.872797654161499e-01  0.000000000000000e+00
1.897133757411430e+07  3.756886719540357e+09  2.831688628145825e+27  7.260932350842386e+08  1.419630263087907e-01  2.872791294995534e-01  0.000000000000000e+00
1.913439369991513e+07  3.743656872844805e+09  2.818346606630259e+27  7.247975797947145e+08  1.419634835611077e-01  2.872785023922942e-01  0.000000000000000e+00
1.933457634324575e+07  3.728936824411469e+09  2.803520314526290e+27  7.233535449688973e+08  1.419639903597963e-01  2.872778076478142e-01  0.000000000000000e+00
1.943345110400347e+07  3.716829944799208e+09  2.791340725297345e+27  7.221631451749024e+08  1.419644053583828e-01  2.872772390665561e-01  2.442490654175344e-15
1.953154063329526e+07  3.708802802071941e+09  2.783272709395731e+27  7.213731054932225e+08  1.419646798287451e-01  2.872768631254107e-01  0.000000000000000e+00
1.967004453153071e+07  3.699121497698818e+09  2.773549901658732e+27  7.204192905897208e+08  1.419650100776128e-01  2.872764109109465e-01  2.442490654175344e-15
1.980704014390364e+07  3.687831838932245e+09  2.762222614214217e+27  7.193051917818222e+08  1.419653939778219e-01  2.872758854397526e-01  0.000000000000000e+00
1.996156015279788e+07  3.675839344306079e+09  2.750202894687301e+27  7.181201350168457e+08  1.419658004609190e-01  2.872753292783053e-01  2.442490654175344e-15
2.011424661353866e+07  3.663168246383955e+09  2.737517323327779e+27  7.168658054887867e+08  1.419662284147077e-01  2.872747440042881e-01  0.000000000000000e+00
2.026516331233324e+07  3.650604527531807e+09  2.724953793440065e+27  7.156198909674736e+08  1.419666512337364e-01  2.872741660130329e-01  0.000000000000000e+00
